CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG,POSTAL,BOROUGH,STREET,CITY
Introduction,2015-01-01 00:00:00,soir,13,297145.531007,5032845.5,45.435500524206496,-73.5978339090997,H8P1B3,H8P,Rue Centrale,Montreal city
Introduction,2015-01-01 00:00:00,nuit,48,302729.266,5050945.833000001,45.5984135228426,-73.5265431127152,H1L 2K9,H1L,Boulevard Lapointe,Montreal city
Introduction,2015-01-01 00:00:00,jour,49,305327.121993,5059316.968010001,45.6737417186837,-73.493234178204,,,,
Introduction,2015-01-01 00:00:00,soir,27,293203.472992,5045435.947000002,45.548740354874,-73.6485157874362,H2M 1S2,H2M,Rue Berri,Montreal city
Introduction,2015-01-01 00:00:00,jour,23,302375.197993,5046522.116009999,45.5586064034326,-73.53105967769291,H1V 1W2,H1V,Rue de Ville-Marie,Montreal city
Introduction,2015-01-01 00:00:00,soir,48,300001.87900900014,5050383.079000001,45.59333623362821,-73.56149779840159,H1M 2W2,H1M,Rue ï¿½tienne-Bouchard,Montreal city
Introduction,2015-01-01 00:00:00,jour,23,302375.197993,5046522.116009999,45.5586064034326,-73.53105967769291,H1V 1W2,H1V,Rue de Ville-Marie,Montreal city
Introduction,2015-01-01 00:00:00,nuit,8,289215.072,5036423.336,45.4675637407728,-73.69930822838741,H8T1H8,H8T,23e Avenue,Montreal city
Introduction,2015-01-01 00:00:00,soir,44,298915.43399500014,5046911.543989998,45.5620899602725,-73.5753810079372,H1X 1H5,H1X,23e Avenue,Montreal city
Introduction,2015-01-01 00:00:00,soir,15,298792.1520000001,5038772.284,45.488848698755895,-73.5768604398251,H3J 1H6,H3J,Boulevard Georges-Vanier,Montreal city
Introduction,2015-01-01 00:00:00,jour,3,276368.349,5041011.487000002,45.5084443741746,-73.86386199429971,H9H1E2,H9H,Boulevard Chevremont,Montreal city
Introduction,2015-01-01 00:00:00,jour,42,297210.375006,5050179.500000001,45.5914795100824,-73.5972734620252,H1R 2A5,H1R,Rue du Notaire Gï¿½rard,Montreal city
Introduction,2015-01-01 00:00:00,soir,38,299559.1599920001,5042464.67199,45.5220805386373,-73.56708730741892,H2L 1H4,H2L,Rue Bousquet,Montreal city
Introduction,2015-01-01 00:00:00,nuit,38,298080.296821,5042832.37317,45.52537656993049,-73.5860230647972,H2T 2C8,H2T,Rue Gilford,Montreal city
Introduction,2015-01-01 00:00:00,soir,8,289171.124993,5032933.0,45.4361551223147,-73.69975933647581,H8T 2A1,H8T,Rue du Fort-Rolland,Montreal city
Introduction,2015-01-01 00:00:00,soir,13,295850.656,5031729.5,45.4254427938317,-73.614363755179,H8P1B3,H8P,Rue Raymond,Montreal city
Introduction,2015-01-01 00:00:00,jour,38,298357.09299499996,5043958.592010002,45.535513325660496,-73.58249444355391,H2H 1A3,H2H,Rue Barrette,Montreal city
Introduction,2015-01-01 00:00:00,jour,27,291594.64799000014,5045992.7530000005,45.5537220252493,-73.6691348220613,H3L 1G6,H3L,Rue Saint-Denis,Ahuntsic-Cartierville
Introduction,2015-01-01 00:00:00,jour,15,299192.51599900005,5038121.848999999,45.4829991233149,-73.5717310227618,H3J 1L8,H3J,Rue Sainte-Cunï¿½gonde,Montreal city
Introduction,2015-01-01 00:00:00,soir,15,297494.204005,5034925.532,45.454221443751706,-73.59340831240729,H4E 3H9,H4E,Rue Briand,Montreal city
Introduction,2015-01-01 00:00:00,jour,16,299612.000006,5036897.9999899985,45.47198960489321,-73.566352054312,H4G 1S7,H4G,Rue de la Poudrière,Montreal city
Mï¿½fait,2015-01-01 00:00:00,jour,15,297565.40099100006,5035726.63,45.461430856816705,-73.5925098108,H4E 3E6,H4E,Rue de Villiers,Montreal city
Mï¿½fait,2015-01-01 00:00:00,nuit,48,301702.344996,5047432.195,45.566792929474104,-73.53968412281179,H1N 3V5,H1N,Boulevard de l'Assomption,Montreal city
Mï¿½fait,2015-01-01 00:00:00,jour,1,276212.49999399995,5032795.0,45.4345036157872,-73.865378431108,H9H1E2,H9H,Oakdale,Beaconsfield
Mï¿½fait,2015-01-01 00:00:00,soir,13,293639.500003,5032196.5,45.429613317892596,-73.6426306430205,H8R 1Y7,H8R,Rue Comte,Montreal city
Mï¿½fait,2015-01-01 00:00:00,jour,45,299089.269045,5056002.119700001,45.643890815099105,-73.57326057956101,H1J2X9,H1J,Boulevard Rodolphe Forget,Montreal city
Mï¿½fait,2015-01-01 00:00:00,nuit,12,298928.456002,5039195.051000001,45.4926541030865,-73.5751217150522,H3H 2S5,H3H,Avenue Amesbury,Montreal city
Mï¿½fait,2015-01-01 00:00:00,nuit,49,304917.531,5060923.545999999,45.688198136843994,-73.4984910540105,H1A 5J4,H1A,Rue Sherbrooke Est,Montreal city
Mï¿½fait,2015-01-01 00:00:00,jour,21,300031.40100499993,5041834.030010001,45.5164091603551,-73.5610360798041,H2L 3Z3,H2L,Rue Saint-Hubert,Montreal city
Mï¿½fait,2015-01-01 00:00:00,jour,30,297707.388999,5047468.052999999,45.56708634759,-73.59086406096141,H1R 2Y5,H1R,23e Avenue,Montreal city
Mï¿½fait,2015-01-01 00:00:00,jour,24,297252.497002,5042092.414,45.518709658934604,-73.59660882995291,H2V 2K8,H2V,Rue Hutchison,Montreal city
Mï¿½fait,2015-01-01 00:00:00,nuit,38,298463.601,5042898.584999999,45.525975959229896,-73.5811170129907,H2J 1W6,H2J,Rue Saint-Hubert,Montreal city
Mï¿½fait,2015-01-01 00:00:00,jour,26,292654.967,5039588.769999999,45.4961159650218,-73.65539551840429,H4P 0A9,H4P,Rue Paré,Montreal city
Mï¿½fait,2015-01-01 00:00:00,jour,5,285345.468989,5034107.500010001,45.4466278159867,-73.74870269384259,H9S 5T8,H9S,Roy,Dorval
Mï¿½fait,2015-01-01 00:00:00,jour,50,298056.030976,5038887.96082,45.4898828851075,-73.5862794651236,H3Z1A5,H3Z,Atwater,Westmount
Mï¿½fait,2015-01-01 00:00:00,soir,38,298014.971005,5042187.462,45.5195727754067,-73.58685041046779,H2W 1Z5,H2W,TD Canada Trust,Montreal city
Mï¿½fait,2015-01-01 00:00:00,jour,23,301734.584996,5045535.533,45.5497262611347,-73.5392592087015,H1V 2C3,H1V,Rue la Fontaine,Montreal city
Mï¿½fait,2015-01-01 00:00:00,nuit,30,296810.3370049999,5046973.291000001,45.562624602787196,-73.6023481705027,H2A 3M4,H2A,13e Avenue,Montreal city
